STT,code,fullName,fullName.converted,categoryName,orderTemplate,Ghi chú bổ sung,,adjusted New basePrice,adjusted New basecost,basePrice.current,basecost.current,basePrice,Cost,modifiedDate,whole,whole.p2,Nếp 101,Chú Đức,whole.p10,Nếp 2,whole.p5,Cô Bắc nếp chùm,basecost,utdao,test,shopee,Mô tả gạo | giá 1kg | giá 50kg,Giá lẻ tăng,Giá lẻ giảm,Giá sỉ tăng,Giá sỉ giảm
1,gd-pt-m-l1,Gạo Phế Thơm (lẻ 1 kg),Gạo Phế Thơm,Gạo dẻo - nguyên liệu,phế thơm nàng hoa mới,,,,,"16,500","14,500","16,500","14,880",2024-03-20 09:55:32,"15,500",,,,"16,500",,"16,000",,"14,500","15,300",,,phế thơm nàng hoa mới | 16500 | 16500,,,,
3,gd-5451-m-l1,5451 - Mới (lẻ 1 kg),5451 - Mới,Gạo dẻo - gia đình,5451 mới đông xuân 24,,,,,"21,000","18,100","20,000","15,600",2024-03-20 16:42:09,"16,600","16,800",,,"17,600",,"17,100",,"15,600","16,400",,https://shp.ee/eqv4rr3,5451 mới đông xuân 24 | 20000 | 17600,,,,
4,gd-nh-m-l1,Nàng Hoa - Mới (lẻ 1 kg),Nàng Hoa - Mới,Gạo dẻo - gia đình,nàng hoa mới đông xuân 24,,,,,"23,000","18,600","22,000","17,600",2024-03-15 09:04:37,"18,600","18,800",,,"19,600",,"19,100",,"17,600","18,400",,https://shp.ee/jyrdgqd,nàng hoa mới đông xuân 24 | 22000 | 19600,,,,
5,gd-nh-l-l1,Nàng Hoa - Lở (lẻ 1 kg),Nàng Hoa - Lở,Gạo dẻo - gia đình,nàng hoa lở 5 tháng thu đông 23,"nguyên liệu nấu bếp lớn, nở mềm",,,,"23,000","18,600","22,000","17,500",2024-03-19 22:46:19,"18,600","18,800",,,"19,600",,"19,100",,"17,600","18,400",,,nàng hoa lở 5 tháng thu đông 23 | 22000 | 19600,,,,
6,gd-4900-m-l1,Thơm Lài Sữa (49) (lẻ 1 kg),Thơm Lài Sữa (49),Gạo dẻo - gia đình,4900 lở 6 tháng hè thu 23,,,,,"23,000","19,600","23,000","19,478",2024-03-20 16:17:25,"20,600","20,800",,,"21,600",,"21,100",,"19,600","20,400",,https://shp.ee/t2rti6p,4900 lở 6 tháng hè thu 23 | 23000 | 21600,,,,
7,gd-rvt-m-l1,ST21 (lẻ 1 kg),ST21,Gạo dẻo - gia đình,"Long Lài, RVT thu đông 23",,,,,"25,000","21,100","25,000","20,865",2024-03-20 16:12:44,"22,100","22,300",,,"23,100",,"22,600",,"21,100","21,900",,https://shp.ee/bqiv8ie,"Long Lài, RVT thu đông 23 | 25000 | 23100",,,,
8,gd-hlm-m-l1,Lài Miên (lẻ 1 kg),Lài Miên,Gạo dẻo - gia đình,Lài miên 6 tháng 23,,,,,"25,000","20,500","25,000","20,548",2024-03-20 16:17:06,"21,600","21,800",,,"22,600",,"22,100",,"20,600","21,400",,https://shp.ee/rvgg9q3,Lài miên 6 tháng 23 | 25000 | 22600,,,,
9,gd-st25-m-l1,ST25 (lẻ 1 kg),ST25,Gạo dẻo - gia đình,ST25 vuông tôm mới thu đông 23,,,,,"30,000","24,800","30,000","24,490",2024-03-20 16:17:15,"25,800","26,000",,,"26,800",,"26,300",,"24,800","25,600",,https://shp.ee/pmdzhzw,ST25 vuông tôm mới thu đông 23 | 30000 | 26800,,,,
10,gn-504-m-l1,504 - Mới (lẻ 1 kg),504 - Mới,Gạo nở - nguyên liệu,gạo tròn mới,đóng bao 25kg,,,,"18,000","15,700","18,000","15,536",2024-03-20 16:53:51,"16,700","16,900",,,"17,700",,"17,200",,"15,700","16,500",,https://shp.ee/4pf9g9a,gạo tròn mới | 18000 | 17700,,,,
11,gn-504-c-l1,504 - Cũ (lẻ 1 kg),504 - Cũ,Gạo nở - nguyên liệu,Gạo ấn Swarna cũ 1 năm 5% tấm,"nguyên liệu bún bánh, nở rất nhiều",,,,"20,000","17,300","20,000","16,803",2024-03-20 09:54:10,"18,300","18,500",,,"19,300",,"18,800",,"17,300","18,100",,https://shp.ee/nti4p63,Gạo ấn Swarna cũ 1 năm 5% tấm | 20000 | 19300,,,,
12,gn-hc-c-l1,Samơ (lẻ 1 kg),Samơ,Gạo nở - nguyên liệu,Hàm Châu cũ 1 năm,"nguyên liệu cơm chiên, nở rất nhiều, gạo đẹp",,,,"21,000","17,300","21,000","17,244",2024-03-20 09:54:24,"18,300","18,500",,,"19,300",,"18,800",,"17,300","18,100",,https://shp.ee/q84fiig,Hàm Châu cũ 1 năm | 21000 | 19300,,,,
13,gn-42-l-l1,Gạo Ấn Swarna (lẻ 1 kg),Gạo Ấn Swarna,Gạo nở - nguyên liệu,Gạo trắng ấn Swarna lở 9 tháng,"nguyên liệu cơm chiên, bún bánh, nở nhiều, mềm cơm",,,,"21,000","17,600","20,000","16,200",2024-03-20 09:53:42,"17,300","17,500",,,"18,300",,"17,800",,"16,300","17,100",,https://shp.ee/tnp8q98,Gạo trắng ấn Swarna lở 9 tháng | 20000 | 18300,,,,
14,gn-tncd-m-l1,Tài Nguyên - Chuẩn (lẻ 1 kg),Tài Nguyên - Chuẩn,Gạo nở - gia đình,Tài Nguyên Chợ Đào lở 6 tháng,,,,,"24,000","20,100","24,000","20,005",2024-03-20 09:54:37,"21,100","21,300",,,"22,100",,"21,600",,"20,100","20,900",,https://shp.ee/2z4nke4,Tài Nguyên Chợ Đào lở 6 tháng | 24000 | 22100,,,,
15,gn-ntcd-l-l1,Nàng Thơm (lẻ 1 kg),Nàng Thơm,Gạo nở - gia đình,Nàng Thơm Chợ Đào lở 6 tháng,,,,,"29,000","24,100","29,000","23,220",2024-03-20 09:54:49,"25,100","25,300",,,"26,100",,,,"24,100","24,900",,https://shp.ee/9j6he4n,Nàng Thơm Chợ Đào lở 6 tháng | 29000 | 26100,,,,
16,t-deo-m-l1,Tấm dẻo (lẻ 1 kg),Tấm dẻo,Tấm,Tấm thơm Nàng Hoa mới,,,,,"17,000","14,100","17,000","13,546",2024-03-20 16:18:14,"14,600","14,800",,,"15,600",,,,"13,600","14,400",,https://shp.ee/e96jka5,Tấm thơm Nàng Hoa mới | 17000 | 15600,,,,
17,t-no-c-l1,Tấm nở (lẻ 1 kg),Tấm nở,Tấm,tấm ấn cũ 1 năm,,,,,"19,000","15,500","19,000","14,600",2024-03-20 16:18:33,"15,700","15,900",,,"16,700",,"16,200",,"14,700","15,500",,https://shp.ee/rmtieuv,tấm ấn cũ 1 năm | 19000 | 16700,,,,
18,t-tn-l-l1,Tấm Tài Nguyên (lẻ 1 kg),Tấm Tài Nguyên,Tấm,Tấm Tài Nguyên Chợ Đào lở 6 tháng,,,,,"19,000","15,100","19,000","15,042",2024-03-20 16:18:23,"16,100","16,300",,,"17,100",,"16,600",,"15,100","15,900",,https://shp.ee/xmayxre,Tấm Tài Nguyên Chợ Đào lở 6 tháng | 19000 | 17100,,,,
19,n-chum-t-l1,Nếp Chùm (lẻ 1 kg),Nếp Chùm,Nếp,IR4625 mới,sáp lai mới,,,,"20,000","15,700","20,000","15,395",2024-03-20 16:19:17,"16,700","16,900","17,200","17,700","17,700","17,700",,"17,700","15,700","16,500",,https://shp.ee/9k2tcji,IR4625 mới | 20000 | 17700,,,,
20,n-ngong-s-l1,Nếp Sáp Ngỗng (lẻ 1 kg),Nếp Sáp Ngỗng,Nếp,nếp sáp ngỗng lở 6 tháng,nguyên liệu nấu bếp lớn,,,,"23,000","19,000","23,000","18,926",2024-03-20 16:19:07,"20,000","20,200","20,500","21,000","21,000","21,000",,"21,000","19,000","19,800",,https://shp.ee/zjmmz7p,nếp sáp ngỗng lở 6 tháng | 23000 | 21000,,,,
21,n-bac-t-l1,Nếp Bắc - chuẩn (lẻ 1 kg),Nếp Bắc - chuẩn,Nếp,nếp bắc dâu lở 6 tháng,nếp cái hoa vàng,,,,"22,000","18,000","22,000","17,957",2024-03-04 15:22:21,"19,000","19,200","19,500",,"20,000","20,000",,,"18,000","18,800",,https://shp.ee/erhbw4i,nếp bắc dâu lở 6 tháng | 22000 | 20000,,,,
22,n-lao-t-l1,Nếp Lào (lẻ 1 kg),Nếp Lào,Nếp,nếp lào mới,"lượng ít, >200kg liên hệ",,,,"24,000","19,500","24,000","18,829",2024-03-20 16:12:54,"20,500",,"21,000","21,500","21,500",,,,"19,500","20,300",,,nếp lào mới | 24000 | 21500,,,,
23,n-bn-t-l1,Nếp Bắc - Nhung (lẻ 1 kg),Nếp Bắc - Nhung,Nếp,Nhung nương hạt to,,,,,"33,000","27,500","33,000","25,763",2024-03-04 15:22:22,"28,500","28,700","29,000","29,500","29,500","29,500",,,"27,500","28,300",,https://shp.ee/832di6t,Nhung nương hạt to | 33000 | 29500,,,,
24,n-thai-n-l1,Nếp Thái - nhập Thái Lan (lẻ 1 kg),Nếp Thái - nhập Thái Lan,Nếp,Lily Flower - Thai Hom Mali Rice,,,,,"26,000","22,000","26,000","21,528",2024-03-20 16:18:56,"23,000","23,200","23,500","24,000","24,000",,,,"22,000","22,800",,https://shp.ee/e8cbsvm,Lily Flower - Thai Hom Mali Rice | 26000 | 24000,,,,
25,n-than-t-l1,Nếp Than (lẻ 1 kg),Nếp Than,Nếp,nếp than mới,"lượng ít, >200kg liên hệ",,,,"26,000","20,500","26,000","20,249",2024-03-20 16:18:47,"21,500","21,700",,"22,500","22,500",,,,"20,500","21,300",,https://shp.ee/k5u3757,nếp than mới | 26000 | 22500,,,,
26,lgl-lua-m-l1,Lúa tròn (lẻ 1 kg),Lúa tròn,Lúa - Gạo Lứt,Lúa gà việt dài,,,,,"15,000","11,600","15,000","11,429",2024-03-20 16:14:33,"12,600","12,800",,,"13,600",,,,"11,600","12,400",,https://shp.ee/yztd67p,Lúa gà việt dài | 15000 | 13600,,,,
27,lgl-lg-m-l1,Lứt gà (lẻ 1 kg),Lứt gà,Lúa - Gạo Lứt,"lứt rượu, gà, chim",,,,,"17,000","14,100","17,000","13,400",2024-03-20 16:14:23,"14,400","14,600",,,"15,400",,,,"13,400","14,200",,https://shp.ee/uphsarv,"lứt rượu, gà, chim | 17000 | 15400",,,,
28,lgl-hr-m-l1,Gạo Huyết Rồng (lẻ 1 kg),Gạo Huyết Rồng,Lúa - Gạo Lứt,Gạo huyết rồng mới,"lượng ít, >200kg liên hệ",,,,"22,000","17,600","22,000","17,557",2024-03-20 16:14:13,"18,600",,,"19,600","19,600",,,,"17,600","18,400",,https://shp.ee/bn64zjq,Gạo huyết rồng mới | 22000 | 19600,,,,
29,gch-st25oc-t-l1,ST25 (Ông Cua) - lúa thường (lẻ 1 kg),ST25 (Ông Cua) - lúa thường,Gạo chính hãng,ST25 Gạo Ông Cua chính hãng túi 5kg,,,,,38000,"32,100","38,000",32000,2024-03-04 15:22:21,"33,100","33,300",,,"34,100",,,,"32,100","32,900",,https://shp.ee/te8cre3,ST25 Gạo Ông Cua chính hãng túi 5kg | 38000 | 34100,,,,